code,service,path,message
/IWFND/CM_COS/064,EAM_BACKLOG_MANAGE,/sap/opu/odata/sap/EAM_BACKLOG_MANAGE,No System Alias found for Service 'ZEAM_BACKLOG_MANAGE_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,EAM_OBJPG_PURCH_SRV,/sap/opu/odata/sap/EAM_OBJPG_PURCH_SRV,No System Alias found for Service 'ZEAM_OBJPG_PURCH_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,EAM_ORDER_ACTUALCOST_MONITOR,/sap/opu/odata/sap/EAM_ORDER_ACTUALCOST_MONITOR,No System Alias found for Service 'ZEAM_ORDER_ACTUALCOST_MONITOR_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,EAM_ORD_MASS_CONFIRMATION_SRV,/sap/opu/odata/sap/EAM_ORD_MASS_CONFIRMATION_SRV,No System Alias found for Service 'ZEAM_ORD_MASS_CONFIRMATION_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,EAM_PLNGBUCKET_MANAGE,/sap/opu/odata/sap/EAM_PLNGBUCKET_MANAGE,No System Alias found for Service 'ZEAM_PLNGBUCKET_MANAGE_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,GFD_CONFIG_SRV,/sap/opu/odata/sap/GFD_CONFIG_SRV,No System Alias found for Service 'GFD_CONFIG_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,HRSFEC_ECP_INFO_SRV,/sap/opu/odata/sap/HRSFEC_ECP_INFO_SRV,No System Alias found for Service 'HRSFEC_ECP_INFO_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,HRSFEC_INFOTYPE_SRV,/sap/opu/odata/sap/HRSFEC_INFOTYPE_SRV,No System Alias found for Service 'HRSFEC_INFOTYPE_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,HRSFEC_PAYCTRL_REC_SRV,/sap/opu/odata/sap/HRSFEC_PAYCTRL_REC_SRV,No System Alias found for Service 'HRSFEC_PAYCTRL_REC_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,HRSFEC_PAY_OVERVIEW_SRV,/sap/opu/odata/sap/HRSFEC_PAY_OVERVIEW_SRV,No System Alias found for Service 'HRSFEC_PAY_OVERVIEW_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,LE_SHP_DELIVERY_PICK,/sap/opu/odata/sap/LE_SHP_DELIVERY_PICK,No System Alias found for Service 'ZLE_SHP_DELIVERY_PICK_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,LE_SHP_INBOUND_DELIVERY_OBJPG_SRV,/sap/opu/odata/sap/LE_SHP_INBOUND_DELIVERY_OBJPG_SRV,No System Alias found for Service 'ZLE_SHP_INBOUND_DELIVERY_OBJPG_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/002,LE_SHP_OD_CREATE_SRV,/sap/opu/odata/sap/LE_SHP_OD_CREATE_SRV,System alias '' does not exist
/IWFND/CM_COS/064,LE_SHP_OD_LOGS_SRV,/sap/opu/odata/sap/LE_SHP_OD_LOGS_SRV,No System Alias found for Service 'ZLE_SHP_OD_LOGS_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,LE_SHP_OUTBOUND_DELIVERY_FS,/sap/opu/odata/sap/LE_SHP_OUTBOUND_DELIVERY_FS,No System Alias found for Service 'ZLE_SHP_OUTBOUND_DELIVERY_FS_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,MM_PUR_REQUIREMENT_TRACKING_SRV,/sap/opu/odata/sap/MM_PUR_REQUIREMENT_TRACKING_SRV,No System Alias found for Service 'ZMM_PUR_REQUIREMENT_TRACKING_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,MM_SUPPLIER_INVOICE_MANAGE,/sap/opu/odata/sap/MM_SUPPLIER_INVOICE_MANAGE,No System Alias found for Service 'ZMM_SUPPLIER_INVOICE_MANAGE_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PIQ_LPD_ADVISOR_SRV,/sap/opu/odata/sap/PIQ_LPD_ADVISOR_SRV,No System Alias found for Service 'PIQ_LPD_ADVISOR_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PIQ_LPD_DEG_REQ_SRV,/sap/opu/odata/sap/PIQ_LPD_DEG_REQ_SRV,No System Alias found for Service 'PIQ_LPD_DEG_REQ_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PIQ_REQUEST_SRV,/sap/opu/odata/sap/PIQ_REQUEST_SRV,No System Alias found for Service 'PIQ_REQUEST_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PYC_CFG_SRV,/sap/opu/odata/sap/PYC_CFG_SRV,No System Alias found for Service 'PYC_CFG_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PYC_CFG_VR_SRV,/sap/opu/odata/sap/PYC_CFG_VR_SRV,No System Alias found for Service 'PYC_CFG_VR_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PYC_CONT_SRV,/sap/opu/odata/sap/PYC_CONT_SRV,No System Alias found for Service 'PYC_CONT_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PYC_KPI_CONFIG_1_SRV,/sap/opu/odata/sap/PYC_KPI_CONFIG_1_SRV,No System Alias found for Service 'PYC_KPI_CONFIG_1_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PYD_CONT_SRV,/sap/opu/odata/sap/PYD_CONT_SRV,No System Alias found for Service 'PYD_CONT_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,PYD_FRW_SRV,/sap/opu/odata/sap/PYD_FRW_SRV,No System Alias found for Service 'PYD_FRW_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SAP_BW_INA_SRV,/sap/opu/odata/sap/SAP_BW_INA_SRV,No System Alias found for Service 'SAP_BW_INA_SRV_0001' and user 'KHUSHAL'
NO_CODE,SBLE_BADI_CTX_REGISTRY_SRV,/sap/opu/odata/sap/SBLE_BADI_CTX_REGISTRY_SRV,No service found for namespace /SAP/; name SBLE_BADI_CTX_REGISTRY_SRV; version 0001
/IWFND/CM_COS/064,SD_CUSTRET_WORKFLOW_SRV,/sap/opu/odata/sap/SD_CUSTRET_WORKFLOW_SRV,No System Alias found for Service 'ZSD_CUSTRET_WORKFLOW_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SD_DEBITMEMOREQ_WORKFLOW_SRV,/sap/opu/odata/sap/SD_DEBITMEMOREQ_WORKFLOW_SRV,No System Alias found for Service 'ZSD_DEBITMEMOREQ_WORKFLOW_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SD_F3014_CMR_WORKFLOW_SRV,/sap/opu/odata/sap/SD_F3014_CMR_WORKFLOW_SRV,No System Alias found for Service 'ZSD_F3014_CMR_WORKFLOW_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SD_SLSORDWTHOUTCHRG_WORKFLOW_SRV,/sap/opu/odata/sap/SD_SLSORDWTHOUTCHRG_WORKFLOW_SRV,No System Alias found for Service 'ZSD_SLSORDWTHOUTCHRG_WORKFLOW_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SLL_PROD_CMDTYCD_CLASSIFY,/sap/opu/odata/sap/SLL_PROD_CMDTYCD_CLASSIFY,No System Alias found for Service 'ZSLL_PROD_CMDTYCD_CLASSIFY_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SLL_PROD_CMDTYCD_RECLASSIFY,/sap/opu/odata/sap/SLL_PROD_CMDTYCD_RECLASSIFY,No System Alias found for Service 'ZSLL_PROD_CMDTYCD_RECLASSIFY_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SLL_PROD_LEGCTRL_CLASSIFY,/sap/opu/odata/sap/SLL_PROD_LEGCTRL_CLASSIFY,No System Alias found for Service 'ZSLL_PROD_LEGCTRL_CLASSIFY_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SR_APS_FLP_SETTINGS_ODATA_SRV,/sap/opu/odata/sap/SR_APS_FLP_SETTINGS_ODATA_SRV,No System Alias found for Service 'SR_APS_FLP_SETTINGS_ODATA_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,SSB_UIAD_DESIGNTIME_SRV,/sap/opu/odata/sap/SSB_UIAD_DESIGNTIME_SRV,No System Alias found for Service 'SSB_UIAD_DESIGNTIME_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,TSW_MYEVENTS_SRV,/sap/opu/odata/sap/TSW_MYEVENTS_SRV,No System Alias found for Service 'TSW_MYEVENTS_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,TSW_MYNOMINATIONS_SRV_01,/sap/opu/odata/sap/TSW_MYNOMINATIONS_SRV_01,No System Alias found for Service 'TSW_MYNOMINATIONS_SRV_01_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,TSW_REGIONAL_INVENTORY_SRV_01,/sap/opu/odata/sap/TSW_REGIONAL_INVENTORY_SRV_01,No System Alias found for Service 'TSW_REGIONAL_INVENTORY_SRV_01_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,UI_SRCGPROJNEGTTN_MANAGE,/sap/opu/odata/sap/UI_SRCGPROJNEGTTN_MANAGE,No System Alias found for Service 'ZUI_SRCGPROJNEGTTN_MANAGE_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,UI_SRCGPROJQTN_MANAGE,/sap/opu/odata/sap/UI_SRCGPROJQTN_MANAGE,No System Alias found for Service 'ZUI_SRCGPROJQTN_MANAGE_0001' and user 'KHUSHAL'
NO_CODE,ZANA_PAI_PS_SRV,/sap/opu/odata/sap/ANA_PAI_PS_SRV,No service found for namespace /SAP/; name ANA_PAI_PS_SRV; version 0001.
NO_CODE,ZANA_PAI_REPOSITORY_SRV,/sap/opu/odata/sap/ANA_PAI_REPOSITORY_SRV,No service found for namespace /SAP/; name ANA_PAI_REPOSITORY_SRV; version 0001.
/IWFND/CM_COS/064,ZCREATE_SO_SRV,/sap/opu/odata/sap/ZCREATE_SO_SRV,No System Alias found for Service 'ZCREATE_SO_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,ZEASY_ACCESS_MENU,/sap/opu/odata/ui2/EASY_ACCESS_MENU,No System Alias found for Service 'ZEASY_ACCESS_MENU_0001' and user 'KHUSHAL'
NO_CODE,ZFARP_MANAGE_INTEREST_RUNS_SRV,/sap/opu/odata/sap/FARP_MANAGE_INTEREST_RUNS_SRV,No service found for namespace /SAP/; name FARP_MANAGE_INTEREST_RUNS_SRV; version 0001.
NO_CODE,ZFARR_CONFLICTED_CONTRACT_WL_SRV,/sap/opu/odata/sap/FARR_CONFLICTED_CONTRACT_WL_SRV,No service found for namespace /SAP/; name FARR_CONFLICTED_CONTRACT_WL_SRV; version 0001.
NO_CODE,ZFIN_RE_LOG_DETAIL_SRV,/sap/opu/odata/sap/FIN_RE_LOG_DETAIL_SRV,No service found for namespace /SAP/; name FIN_RE_LOG_DETAIL_SRV; version 0001.
/IWFND/CM_COS/064,ZSD_CDS_050_Q_CDS,/sap/opu/odata/sap/ZSD_CDS_050_Q_CDS,No System Alias found for Service 'ZSD_CDS_050_Q_CDS_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,ZTARGET_TV_CDS,/sap/opu/odata/sap/ZTARGET_TV_CDS,No System Alias found for Service 'ZTARGET_TV_CDS_0001' and user 'KHUSHAL'
NO_CODE,ZUI_ENGINEERING_REDLINE,/sap/opu/odata/sap/UI_ENGINEERING_REDLINE,No service found for namespace /SAP/; name UI_ENGINEERING_REDLINE; version 0001.
/IWFND/CM_COS/064,ZUSER_MENU,/sap/opu/odata/ui2/USER_MENU,No System Alias found for Service 'ZUSER_MENU_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,ZVKR_PO_SRV,/sap/opu/odata/sap/ZVKR_PO_SRV,No System Alias found for Service 'ZVKR_PO_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,ZZSALES1_SRV,/sap/opu/odata/sap/ZZSALES1_SRV,No System Alias found for Service 'ZZSALES1_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,ZZSALES_SRV,/sap/opu/odata/sap/ZZSALES_SRV,No System Alias found for Service 'ZZSALES_SRV_0001' and user 'KHUSHAL'
